,date,risk_value,available_value,capital,value_to_risk,value_to_safe,floor_value,cushion,risky_w
205,2022-07-25,4710.906701708279,5000.0,9710.906701708278,9973.71879106439,0.0,0,1.0,1.0
206,2022-07-26,4960.578186596584,5000.0,9960.578186596584,9710.906701708278,0.0,0,1.0,1.0
207,2022-07-27,5312.089356110381,5000.0,10312.08935611038,9960.578186596584,0.0,0,1.0,1.0
208,2022-07-28,5335.085413929041,5000.0,10335.085413929042,10312.08935611038,0.0,0,1.0,1.0
209,2022-07-29,5252.956636005257,5000.0,10252.956636005256,10335.085413929042,0.0,0,1.0,1.0
210,2022-07-30,5121.550591327202,5000.0,10121.550591327203,10252.956636005256,0.0,0,1.0,1.0
211,2022-07-31,5085.413929040737,5000.0,10085.413929040737,10121.550591327203,0.0,0,1.0,1.0
212,2022-08-01,5279.237844940867,5000.0,10279.237844940868,10085.413929040737,0.0,0,1.0,1.0
213,2022-08-02,5154.402102496715,5000.0,10154.402102496715,10279.237844940868,0.0,0,1.0,1.0
214,2022-08-03,5147.831800262812,5000.0,10147.831800262811,10154.402102496715,0.0,0,1.0,1.0
215,2022-08-04,5236.5308804205,5000.0,10236.5308804205,10147.831800262811,0.0,0,1.0,1.0
216,2022-08-05,5308.804204993429,5000.0,10308.80420499343,10236.5308804205,0.0,0,1.0,1.0
217,2022-08-06,5275.952693823916,5000.0,10275.952693823916,10308.80420499343,0.0,0,1.0,1.0
218,2022-08-07,5407.358738501971,5000.0,10407.358738501971,10275.952693823916,0.0,0,1.0,1.0
219,2022-08-08,5482.917214191853,5000.0,10482.917214191853,10407.358738501971,0.0,0,1.0,1.0
220,2022-08-09,5180.683311432325,5000.0,10180.683311432325,10482.917214191853,0.0,0,1.0,1.0
221,2022-08-10,5499.3429697766105,5000.0,10499.342969776611,10180.683311432325,0.0,0,1.0,1.0
222,2022-08-11,5206.964520367937,5000.0,10206.964520367937,10499.342969776611,0.0,0,1.0,1.0
223,2022-08-12,5427.069645203679,5000.0,10427.06964520368,10206.964520367937,0.0,0,1.0,1.0
224,2022-08-13,5420.499342969777,5000.0,10420.499342969777,10427.06964520368,0.0,0,1.0,1.0
225,2022-08-14,5390.932982917214,5000.0,10390.932982917213,10420.499342969777,0.0,0,1.0,1.0
226,2022-08-15,5358.081471747701,5000.0,10358.0814717477,10390.932982917213,0.0,0,1.0,1.0
227,2022-08-16,5555.190538764783,5000.0,10555.190538764782,10358.0814717477,0.0,0,1.0,1.0
228,2022-08-17,5538.764783180026,5000.0,10538.764783180026,10555.190538764782,0.0,0,1.0,1.0
229,2022-08-18,5292.378449408673,5000.0,10292.378449408672,10538.764783180026,0.0,0,1.0,1.0
230,2022-08-19,4674.770039421814,5000.0,9674.770039421814,10292.378449408672,0.0,0,1.0,1.0
231,2022-08-20,4888.304862023654,5000.0,9888.304862023655,9674.770039421814,0.0,0,1.0,1.0
232,2022-08-21,5068.988173455979,5000.0,10068.988173455979,9888.304862023655,0.0,0,1.0,1.0
233,2022-08-22,5052.562417871222,5000.0,10052.562417871222,10068.988173455979,0.0,0,1.0,1.0
234,2022-08-23,5068.988173455979,5000.0,10068.988173455979,10052.562417871222,0.0,0,1.0,1.0
235,2022-08-24,4947.437582128778,5000.0,9947.437582128778,10068.988173455979,0.0,0,1.0,1.0
236,2022-08-25,5062.417871222076,5000.0,10062.417871222076,9947.437582128778,0.0,0,1.0,1.0
237,2022-08-26,4687.910643889619,5000.0,9687.91064388962,10062.417871222076,0.0,0,1.0,1.0
238,2022-08-27,4766.754270696452,5000.0,9766.754270696452,9687.91064388962,0.0,0,1.0,1.0
239,2022-08-28,4809.461235216821,5000.0,9809.46123521682,9766.754270696452,0.0,0,1.0,1.0
240,2022-08-29,5016.425755584757,5000.0,10016.425755584758,9809.46123521682,0.0,0,1.0,1.0
241,2022-08-30,4885.019710906701,5000.0,9885.019710906701,10016.425755584758,0.0,0,1.0,1.0
242,2022-08-31,4904.73061760841,5000.0,9904.73061760841,9885.019710906701,0.0,0,1.0,1.0
243,2022-09-01,5078.8436268068335,5000.0,10078.843626806833,9904.73061760841,0.0,0,1.0,1.0
244,2022-09-02,5036.136662286466,5000.0,10036.136662286466,10078.843626806833,0.0,0,1.0,1.0
245,2022-09-03,5072.2733245729305,5000.0,10072.27332457293,10036.136662286466,0.0,0,1.0,1.0
246,2022-09-04,5111.695137976347,5000.0,10111.695137976347,10072.27332457293,0.0,0,1.0,1.0
247,2022-09-05,5177.398160315374,5000.0,10177.398160315373,10111.695137976347,0.0,0,1.0,1.0
248,2022-09-06,4763.469119579501,5000.0,9763.469119579502,10177.398160315373,0.0,0,1.0,1.0
249,2022-09-07,4908.015768725361,5000.0,9908.015768725361,9763.469119579502,0.0,0,1.0,1.0
250,2022-09-08,5000.0,5000.0,10000.0,9908.015768725361,0.0,0,1.0,1.0
251,2022-09-09,5302.233902759527,5000.0,10302.233902759526,10000.0,0.0,0,1.0,1.0
252,2022-09-10,5183.968462549278,5000.0,10183.968462549277,10302.233902759526,0.0,0,1.0,1.0
253,2022-09-11,5229.960578186597,5000.0,10229.960578186598,10183.968462549277,0.0,0,1.0,1.0
254,2022-09-12,5390.932982917214,5000.0,10390.932982917213,10229.960578186598,0.0,0,1.0,1.0
255,2022-09-13,4770.039421813403,5000.0,9770.039421813402,10390.932982917213,0.0,0,1.0,1.0
256,2022-09-14,4924.441524310118,5000.0,9924.441524310118,9770.039421813402,0.0,0,1.0,1.0
257,2022-09-15,4786.46517739816,5000.0,9786.46517739816,9924.441524310118,0.0,0,1.0,1.0
258,2022-09-16,4901.445466491458,5000.0,9901.44546649146,9786.46517739816,0.0,0,1.0,1.0
259,2022-09-17,4848.883048620237,5000.0,9848.883048620237,9901.44546649146,0.0,0,1.0,1.0
260,2022-09-18,4622.207621550591,5000.0,9622.207621550591,9848.883048620237,0.0,0,1.0,1.0
261,2022-09-19,4618.92247043364,5000.0,9618.922470433641,9622.207621550591,0.0,0,1.0,1.0
262,2022-09-20,4678.055190538766,5000.0,9678.055190538766,9618.922470433641,0.0,0,1.0,1.0
263,2022-09-21,4434.954007884363,5000.0,9434.954007884364,9678.055190538766,0.0,0,1.0,1.0
264,2022-09-22,4740.473061760841,5000.0,9740.47306176084,9434.954007884364,0.0,0,1.0,1.0
265,2022-09-23,4648.4888304862025,5000.0,9648.488830486203,9740.47306176084,0.0,0,1.0,1.0
266,2022-09-24,4655.059132720105,5000.0,9655.059132720104,9648.488830486203,0.0,0,1.0,1.0
267,2022-09-25,4632.063074901445,5000.0,9632.063074901445,9655.059132720104,0.0,0,1.0,1.0
268,2022-09-26,4786.46517739816,5000.0,9786.46517739816,9632.063074901445,0.0,0,1.0,1.0
